3000	15	538
1	1	0	163	164	3	A
2	1	0	178	162	1	C
3	1	0	155	170	4	C
4	1	0	174	188	4	C
5	1	0	182	160	3	C
6	1	1	171	200	2	B
7	1	1	197	199	1	C
8	2	2	169	157	1	B
9	1	2	168	181	4	B
10	1	2	183	182	4	B
11	2	2	189	180	4	D
12	2	3	163	155	1	D
13	1	3	170	187	3	B
14	1	4	175	179	3	D
15	1	4	186	190	2	B
16	1	4	185	179	3	B
17	1	5	165	161	3	A
18	1	5	151	186	4	D
19	2	5	157	192	3	C
20	2	6	189	158	4	D
21	1	6	177	196	3	D
22	1	6	179	169	2	A
23	2	7	188	169	2	C
24	1	7	198	197	2	C
25	2	7	185	195	4	C
26	2	7	199	180	3	D
27	2	7	174	195	1	A
28	1	8	165	192	3	A
29	2	8	173	163	2	D
30	1	8	195	155	2	B
31	1	9	164	168	1	B
32	1	9	191	166	2	C
33	1	9	186	184	3	B
34	1	9	192	162	2	C
35	1	9	151	156	4	B
36	1	9	164	192	1	B
37	2	10	197	175	4	C
38	1	10	188	163	4	B
39	1	10	196	196	1	B
40	1	10	187	155	3	A
41	1	10	192	193	4	A
42	2	11	177	152	4	C
43	1	11	177	193	1	B
44	1	11	162	180	4	C
45	1	11	188	177	2	A
46	1	11	197	171	2	A
47	1	11	165	200	4	D
48	1	12	172	182	3	B
49	1	12	200	162	3	B
50	1	13	164	179	3	D
51	1	13	156	152	1	B
52	2	13	196	156	3	C
53	1	13	195	198	1	C
54	1	14	162	193	4	C
55	2	14	200	184	1	C
56	1	14	161	180	1	A
57	1	14	160	161	2	A
58	1	14	163	194	2	B
59	2	15	162	177	4	B
60	2	16	173	187	1	A
61	1	16	188	166	3	C
62	2	16	160	153	3	C
63	1	16	192	187	2	B
64	1	17	169	178	3	A
65	1	17	172	176	2	D
66	1	17	159	198	1	A
67	1	17	192	161	2	A
68	1	18	156	179	4	A
69	1	18	189	191	1	D
70	1	18	158	186	1	D
71	1	18	151	183	1	D
72	2	18	170	156	1	C
73	1	18	181	162	2	B
74	1	18	162	163	1	A
75	1	19	164	171	1	C
76	2	19	158	185	3	B
77	1	19	152	162	4	C
78	1	19	183	163	2	C
79	1	19	182	167	2	C
80	1	19	181	198	4	D
81	1	20	158	174	3	D
82	1	20	156	160	3	C
83	2	20	165	178	1	C
84	1	21	190	155	4	B
85	1	21	192	187	3	D
86	1	21	193	161	2	A
87	1	21	182	198	3	C
88	1	22	194	164	4	B
89	1	22	153	180	1	B
90	1	22	199	170	2	D
91	1	22	185	188	4	B
92	2	22	164	170	3	B
93	1	23	160	188	3	B
94	1	23	158	197	4	B
95	1	23	191	153	4	D
96	1	23	181	162	2	C
97	1	23	194	157	4	D
