KTS	S	FD	KD	LT
57	2	0	57	57
57	8	0	57	57
58	11	0	57	57
59	9	0	59	59
59	5	0	59	59
60	10	0	59	59
60	21	0	57	57
60	18	0	57	57
61	17	0	59	59
61	13	0	60	60
61	15	0	59	59
61	16	0	59	59
62	22	0	59	59
62	29	0	57	57
62	41	0	55	55
62	27	0	57	57
63	32	0	57	57
63	34	0	57	57
63	23	0	59	59
64	36	0	57	57
64	50	0	55	55
65	44	0	57	57
66	37	0	59	59
66	38	0	59	59
66	47	0	57	57
67	45	0	59	59
67	46	0	59	59
67	57	0	57	57
68	61	0	57	57
68	48	0	59	59
69	54	0	59	59
69	51	0	59	59
69	60	0	58	58
69	52	0	59	59
70	55	0	60	60
70	58	0	59	59
70	53	0	60	60
71	68	0	58	58
71	69	0	57	57
72	65	0	59	59
73	31	0	68	68
73	66	0	60	60
73	73	0	57	57
73	75	0	57	57
74	12	0	73	73
74	72	0	58	58
75	14	0	73	73
75	64	0	62	62
75	79	0	58	58
75	20	0	72	72
75	25	0	71	71
76	76	0	59	59
76	99	0	55	55
77	91	0	58	58
77	80	0	60	60
77	90	0	58	58
77	89	0	59	59
77	77	0	60	60
77	42	0	70	70
77	92	0	58	58
77	94	0	57	57
78	81	0	61	61
78	103	0	57	57
78	100	0	57	57
78	56	0	68	68
78	88	0	60	60
79	87	0	61	61
79	1	0	79	79
79	7	0	79	79
79	49	0	70	70
80	97	0	59	59
80	106	0	57	57
 T1_Total_Damage		T2_Total_Damage		T3_Total_Damage		T4_Total_Damage
	1500			1500			1500			1500			
Game is LOSS
Number of killed Enemies = 72
Number of alive enemies = 228
Averge First shoot delay = 0
Avergy kill delay = 60.1944
