KTS	S	FD	KD	LT
10	2	0	10	10
11	15	0	9	9
11	3	0	11	11
12	4	0	12	12
15	19	0	13	13
15	13	0	13	13
15	8	0	14	14
15	1	0	15	15
16	25	0	12	12
16	21	0	13	13
19	38	0	12	12
19	45	0	10	10
19	36	0	12	12
19	43	0	11	11
19	33	0	13	13
19	11	0	18	18
20	27	0	16	16
20	26	0	16	16
20	14	0	18	18
21	30	0	16	16
21	41	0	13	13
21	32	0	15	15
22	62	0	9	9
23	58	0	12	12
23	56	0	12	12
24	65	0	10	10
25	17	0	23	23
26	70	0	12	12
27	68	0	13	13
27	24	0	24	24
28	48	0	19	19
30	23	0	27	27
30	81	0	13	13
30	86	0	12	12
31	18	0	29	29
31	22	0	28	28
31	20	0	29	29
34	57	0	23	23
39	46	0	30	30
40	111	0	15	15
40	66	0	26	26
40	122	0	12	12
41	126	0	12	12
44	50	0	34	34
44	54	0	34	34
47	148	0	14	14
47	150	0	13	13
47	103	0	24	24
47	141	0	15	15
48	116	0	22	22
48	144	0	16	16
48	132	0	18	18
48	107	0	23	23
50	179	0	10	10
50	181	0	10	10
51	168	0	14	14
52	137	0	21	21
55	188	0	13	13
56	194	0	13	13
56	205	0	11	11
57	12	0	55	55
57	149	0	23	23
57	158	0	22	22
58	5	0	57	57
58	6	0	57	57
60	37	0	53	53
61	35	0	55	55
61	185	0	20	20
62	10	0	61	61
62	7	0	61	61
62	156	0	27	27
63	220	0	15	15
64	44	0	55	55
65	31	0	59	59
66	49	0	57	57
66	234	0	15	15
67	51	0	57	57
68	72	0	53	53
68	74	0	53	53
68	206	0	23	23
69	78	0	53	53
70	64	0	57	57
71	47	0	62	62
71	79	0	54	54
71	76	0	55	55
71	222	0	22	22
71	262	0	13	13
72	63	0	59	59
72	239	0	19	19
73	42	0	65	65
73	88	0	54	54
73	96	0	51	51
73	73	0	58	58
74	9	0	73	73
74	93	0	53	53
75	89	0	56	56
75	83	0	57	57
76	75	0	61	61
76	80	0	59	59
76	94	0	55	55
76	237	0	24	24
76	254	0	19	19
76	236	0	24	24
76	264	0	17	17
76	250	0	20	20
77	98	0	55	55
77	85	0	59	59
77	95	0	56	56
77	268	0	17	17
77	287	0	11	11
78	82	0	60	60
78	281	0	14	14
79	91	0	59	59
79	55	0	69	69
79	105	0	55	55
79	77	0	63	63
79	288	0	13	13
79	284	0	14	14
80	102	0	57	57
80	108	0	55	55
81	71	0	67	67
81	53	0	71	71
81	112	0	56	56
81	109	0	56	56
81	247	0	27	27
82	60	0	70	70
82	59	0	70	70
82	52	0	72	72
82	299	0	13	13
83	115	0	57	57
83	117	0	57	57
83	39	0	76	76
83	125	0	54	54
83	128	0	54	54
83	162	0	47	47
83	29	0	78	78
83	69	0	69	69
83	123	0	55	55
83	120	0	56	56
84	127	0	55	55
84	110	0	59	59
84	135	0	54	54
84	124	0	55	55
85	161	0	49	49
86	140	0	55	55
86	195	0	43	43
86	157	0	51	51
86	113	0	60	60
86	143	0	54	54
87	61	0	75	75
87	202	0	43	43
87	165	0	51	51
87	133	0	57	57
87	130	0	57	57
87	164	0	51	51
87	40	0	79	79
88	139	0	57	57
88	186	0	47	47
88	138	0	57	57
88	129	0	59	59
88	87	0	69	69
88	152	0	54	54
89	175	0	50	50
90	177	0	51	51
90	212	0	44	44
90	174	0	52	52
90	171	0	52	52
90	189	0	48	48
90	136	0	59	59
90	166	0	53	53
90	169	0	53	53
90	271	0	29	29
91	170	0	53	53
91	154	0	56	56
91	216	0	45	45
91	184	0	50	50
91	142	0	59	59
91	180	0	51	51
91	172	0	53	53
91	147	0	58	58
91	16	0	89	89
91	274	0	30	30
