KTS	S	FD	KD	LT
55	1	0	55	55
57	2	0	57	57
59	3	0	58	58
59	13	0	55	55
59	5	0	57	57
60	7	0	57	57
60	10	0	57	57
61	11	0	58	58
61	14	0	57	57
61	16	0	57	57
61	15	0	57	57
61	9	0	58	58
62	18	0	57	57
62	19	0	57	57
63	27	0	57	57
63	26	0	57	57
63	24	0	57	57
64	20	0	59	59
64	28	0	57	57
65	25	0	59	59
65	30	0	57	57
65	22	0	59	59
66	33	0	57	57
66	37	0	55	55
67	36	0	57	57
68	32	0	59	59
70	34	0	60	60
70	54	0	56	56
70	43	0	57	57
71	51	0	57	57
71	52	0	57	57
71	46	0	58	58
72	60	0	57	57
72	59	0	57	57
72	57	0	57	57
72	53	0	58	58
72	50	0	59	59
72	4	0	71	71
72	45	0	59	59
73	67	0	57	57
73	23	0	67	67
74	73	0	56	56
74	62	0	59	59
74	56	0	59	59
74	55	0	59	59
74	58	0	59	59
74	31	0	66	66
74	48	0	61	61
74	69	7	50	57
75	72	0	57	57
75	70	0	57	57
75	17	0	71	71
75	66	0	59	59
76	75	0	57	57
77	39	0	66	66
77	71	0	59	59
78	81	0	57	57
78	82	0	57	57
79	85	0	57	57
79	83	0	58	58
79	76	0	59	59
79	87	0	57	57
80	38	0	69	69
80	89	0	57	57
80	80	0	59	59
80	29	0	73	73
81	79	0	60	60
81	35	0	71	71
81	86	0	59	59
81	97	0	57	57
81	95	0	57	57
81	98	0	57	57
81	40	0	69	69
81	8	0	78	78
81	96	0	57	57
82	90	0	59	59
82	47	0	69	69
82	99	0	57	57
82	12	0	79	79
83	65	0	67	67
83	103	0	57	57
83	104	0	57	57
84	107	0	58	58
84	105	0	58	58
85	6	0	83	83
85	21	0	79	79
85	114	0	57	57
85	111	0	57	57
86	101	0	61	61
86	118	0	57	57
 T1_Total_Damage		T2_Total_Damage		T3_Total_Damage		T4_Total_Damage
	1500			1500			1500			1500			
Game is LOSS
Number of killed Enemies = 90
Number of alive enemies = 210
Averge First shoot delay = 0.0777778
Avergy kill delay = 59.9111
