KTS	S	FD	KD	LT
14	1	0	14	14
15	5	0	14	14
15	3	0	14	14
15	2	0	15	15
16	4	0	15	15
18	8	0	14	14
18	7	0	15	15
18	10	0	14	14
20	11	0	15	15
64	29	0	54	54
65	22	0	57	57
66	15	0	59	59
67	43	0	53	53
68	34	0	57	57
69	41	0	55	55
69	56	0	53	53
70	12	0	65	65
70	51	0	55	55
70	45	0	55	55
70	42	0	56	56
71	35	0	59	59
71	54	0	55	55
71	47	0	56	56
71	53	0	55	55
72	70	0	53	53
73	33	0	62	62
73	52	0	57	57
73	31	0	62	62
73	13	0	68	68
74	66	0	56	56
74	39	0	61	61
74	44	0	60	60
74	62	0	57	57
75	30	0	65	65
75	65	0	57	57
75	64	0	57	57
75	55	0	59	59
75	73	0	56	56
76	59	0	59	59
76	58	0	59	59
76	46	0	61	61
76	48	0	61	61
76	75	0	57	57
77	80	0	57	57
77	77	0	57	57
77	20	0	69	69
77	78	0	57	57
78	6	0	75	75
78	74	0	59	59
78	76	0	59	59
78	61	0	61	61
78	84	0	57	57
78	98	0	55	55
78	85	0	57	57
79	37	0	66	66
79	99	0	55	55
80	107	0	54	54
80	96	0	57	57
80	72	0	61	61
80	83	0	59	59
80	81	0	59	59
80	93	0	57	57
80	94	0	57	57
81	89	0	59	59
81	90	0	59	59
81	88	0	59	59
81	102	0	55	55
81	97	0	58	58
81	100	0	57	57
82	108	0	55	55
82	95	0	59	59
82	38	0	69	69
83	111	0	55	55
83	106	0	57	57
83	87	0	62	62
83	105	0	57	57
85	116	0	55	55
85	69	0	67	67
85	113	0	57	57
85	120	0	55	55
86	121	0	55	55
86	9	0	82	82
86	127	0	55	55
86	40	0	73	73
86	50	0	71	71
87	141	0	54	54
87	112	0	59	59
87	19	0	79	79
87	115	0	57	57
87	118	0	57	57
87	122	0	56	56
88	145	0	54	54
88	32	0	77	77
88	25	0	79	79
88	147	0	54	54
88	49	0	73	73
89	79	0	69	69
89	133	0	57	57
89	117	0	59	59
89	134	0	57	57
89	142	0	55	55
90	14	0	84	84
90	126	0	59	59
90	36	0	77	77
90	24	0	81	81
91	68	0	73	73
92	138	0	59	59
92	160	0	56	56
92	149	0	57	57
92	140	0	59	59
93	27	0	83	83
93	157	0	57	57
93	57	0	77	77
93	164	0	55	55
94	176	0	54	54
94	150	0	59	59
94	109	0	66	66
94	67	0	76	76
94	131	0	62	62
94	104	0	68	68
94	152	0	59	59
94	168	0	55	55
94	28	0	84	84
95	178	0	55	55
95	136	0	63	63
95	154	0	59	59
95	124	0	64	64
95	60	0	78	78
95	170	0	56	56
96	146	0	62	62
97	182	0	55	55
97	86	0	76	76
97	166	0	59	59
97	194	0	53	53
97	110	0	69	69
98	180	0	57	57
98	132	0	66	66
98	165	0	60	60
98	92	0	76	76
98	187	0	56	56
98	151	0	63	63
98	82	0	77	77
98	179	0	57	57
98	101	0	73	73
99	186	0	57	57
99	197	0	55	55
99	196	0	55	55
99	158	0	63	63
99	137	0	66	66
99	153	0	64	64
99	184	1	56	57
100	71	0	81	81
100	135	0	68	68
100	139	0	67	67
100	181	0	59	59
100	148	0	65	65
100	161	0	64	64
100	211	0	52	52
100	18	0	93	93
101	193	0	57	57
101	155	0	65	65
101	128	0	70	70
101	209	0	53	53
102	173	0	62	62
102	200	0	57	57
102	213	0	53	53
102	16	0	95	95
102	114	0	73	73
102	189	0	59	59
102	198	0	57	57
103	195	0	59	59
103	217	0	53	53
103	103	0	77	77
103	251	0	44	44
103	208	0	55	55
103	271	0	40	40
103	163	0	66	66
103	190	0	59	59
103	23	0	95	95
103	206	0	57	57
103	125	0	72	72
104	167	0	65	65
104	162	0	67	67
104	119	0	74	74
104	175	0	64	64
104	174	0	64	64
104	221	0	53	53
105	202	0	59	59
105	199	0	60	60
105	172	0	65	65
105	191	0	61	61
106	218	0	55	55
106	205	0	60	60
106	177	0	66	66
106	63	0	89	89
106	183	0	64	64
106	223	0	54	54
107	204	0	61	61
107	156	0	71	71
107	232	0	53	53
107	248	0	50	50
108	203	0	62	62
108	214	0	59	59
108	230	0	55	55
108	280	0	44	44
108	277	0	44	44
108	294	0	41	41
108	169	0	69	69
109	233	0	55	55
109	188	0	66	66
109	123	0	78	78
109	225	0	57	57
109	21	0	101	101
109	222	0	57	57
109	144	0	75	75
109	130	0	78	78
109	171	0	69	69
109	215	0	59	59
109	296	0	41	41
109	293	0	42	42
109	26	0	100	100
109	247	0	52	52
109	256	0	49	49
110	192	0	66	66
110	237	0	55	55
110	234	0	56	56
110	219	0	59	59
110	249	0	52	52
110	240	0	54	54
110	299	0	41	41
110	297	0	41	41
111	243	0	55	55
111	238	0	56	56
111	254	0	52	52
111	91	0	89	89
111	250	0	52	52
112	253	0	53	53
112	259	0	52	52
112	276	0	48	48
112	292	0	45	45
112	289	0	45	45
112	129	0	81	81
112	201	0	66	66
112	267	0	50	50
113	261	0	52	52
113	224	0	61	61
113	220	0	62	62
113	143	0	79	79
113	272	0	50	50
114	275	0	50	50
114	242	0	58	58
114	291	0	47	47
114	246	0	57	57
114	210	0	66	66
114	269	0	51	51
114	290	7	40	47
115	274	0	51	51
115	268	0	52	52
115	255	0	55	55
115	159	0	79	79
115	279	0	51	51
115	278	0	51	51
116	282	0	52	52
116	283	0	52	52
116	264	0	55	55
116	263	0	55	55
116	227	0	63	63
116	216	0	66	66
116	258	0	56	56
116	260	0	55	55
116	185	0	74	74
117	228	0	64	64
117	281	0	53	53
117	262	0	56	56
117	266	0	55	55
117	239	0	62	62
117	270	0	54	54
117	285	0	52	52
117	284	0	52	52
117	235	0	63	63
117	226	0	65	65
118	236	0	64	64
118	287	0	52	52
118	212	0	69	69
118	286	0	53	53
118	244	0	62	62
118	17	0	111	111
118	257	0	58	58
118	231	0	64	64
118	273	0	54	54
118	295	0	50	50
118	300	0	49	49
118	207	0	71	71
118	241	0	62	62
119	229	0	66	66
119	288	0	52	52
119	265	0	57	57
119	245	0	62	62
119	252	0	60	60
120	298	0	51	51
 T1_Total_Damage		T2_Total_Damage		T3_Total_Damage		T4_Total_Damage
	2167.34			3000			2398.45			2409.65			
Game is WiN
Total Enemies = 300
Averge First shoot delay = 0.0266667
Avergy kill delay = 59.3733
